country,amount,discount
France,138.95,6.95
France,147.56,7.38
Germany,182.22,9.11
Sweden,103.53,5.18
USA,491.26,24.56
USA,605.89,30.29
Sweden,104.15,5.21
France,138.27,6.91
France,158.2,7.91
Sweden,109.86,5.49
France,158.98,7.95
USA,510.68,25.53
Germany,275.17,13.76
Germany,282.35,14.12
Sweden,1600.0,80.0
Sweden,110.86,5.54
Sweden,93.56,4.68
Sweden,84.36,4.22
Germany,202.77,10.14
Sweden,105.36,5.27
France,146.14,7.31
USA,2200.0,110.0
Germany,250.2,12.51
USA,478.89,23.94
France,150.6,7.53
Sweden,103.97,5.2
Sweden,106.97,5.35
USA,444.4,22.22
USA,510.87,25.54
France,145.61,7.28
France,150.43,7.52
Germany,243.11,12.16
Sweden,104.37,5.22
France,142.77,7.14
